
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
AE_2d_l32_chlk49sst                0.806             0.722             0.446     0.841      0.953          0.899         0.826         0.885             0.803                   0.896   
AE_2d_l32_chlnflsst                0.778             0.710             0.483     0.889      0.937          0.902         0.839         0.896             0.719                   0.896   
AE_2d_l32_k49nflsst                0.795             0.712             0.445     0.905      0.963          0.920         0.859         0.915             0.681                   0.916   
AE_2d_l32_mae015                   0.869             0.791             0.515     0.919      0.991          0.949         0.887         0.943             0.786                   0.949   
AE_2d_l32_mae030                   0.980             0.921             0.606     0.871      0.894          0.880         0.856         0.885             0.770                   0.895   
AE_2d_l32_mae040                   1.000             0.962             0.633     0.849      0.819          0.810         0.810         0.826             0.720                   0.834   
AE_2d_l32_mae050                   0.962             1.000             0.754     0.799      0.729          0.739         0.763         0.765             0.679                   0.770   
AE_2d_l32_mae070                   0.633             0.754             1.000     0.460      0.461          0.500         0.493         0.505             0.447                   0.512   
AE_2d_l4                           0.849             0.799             0.460     1.000      0.888          0.847         0.846         0.876             0.688                   0.872   
AE_2d_l64                          0.819             0.729             0.461     0.888      1.000          0.950         0.867         0.932             0.776                   0.940   
AE_3d_l128_t4                      0.810             0.739             0.500     0.847      0.950          1.000         0.945         0.988             0.863                   0.986   
AE_3d_l16_t4                       0.810             0.763             0.493     0.846      0.867          0.945         1.000         0.970             0.919                   0.965   
AE_3d_l32_t4                       0.826             0.765             0.505     0.876      0.932          0.988         0.970         1.000             0.874                   0.994   
AE_3d_l32_t4_chl                   0.720             0.679             0.447     0.688      0.776          0.863         0.919         0.874             1.000                   0.881   
AE_3d_l32_t4_chlk49nfl             0.834             0.770             0.512     0.872      0.940          0.986         0.965         0.994             0.881                   1.000   
AE_3d_l32_t4_chlk49sst             0.811             0.754             0.477     0.819      0.899          0.948         0.930         0.957             0.914                   0.953   
AE_3d_l32_t4_chlnflsst             0.737             0.699             0.487     0.790      0.808          0.913         0.958         0.934             0.871                   0.922   
AE_3d_l32_t4_k49nflsst             0.765             0.719             0.465     0.819      0.831          0.924         0.972         0.949             0.825                   0.937   
AE_3d_l32_t4_mae015                0.856             0.802             0.534     0.881      0.923          0.978         0.962         0.993             0.867                   0.986   
AE_3d_l32_t4_mae030                0.885             0.893             0.579     0.803      0.708          0.741         0.760         0.778             0.669                   0.767   
AE_3d_l32_t4_mae040                0.741             0.728             0.312     0.682      0.515          0.494         0.544         0.538             0.434                   0.528   
AE_3d_l32_t4_mae050                0.744             0.767             0.403     0.581      0.419          0.409         0.454         0.449             0.389                   0.451   
AE_3d_l32_t4_mae070                0.705             0.719             0.299     0.594      0.390          0.363         0.415         0.410             0.315                   0.404   
AE_3d_l4_t4                        0.834             0.797             0.469     0.942      0.840          0.877         0.944         0.918             0.816                   0.910   
AE_3d_l64_t4                       0.816             0.750             0.497     0.861      0.942          0.995         0.959         0.995             0.870                   0.991   
B1_chla_zscore                     0.467             0.472             0.258     0.389      0.348          0.356         0.401         0.380             0.394                   0.389   
B2_multivar_zscore                 0.495             0.532             0.419     0.361      0.339          0.387         0.418         0.406             0.431                   0.409   
B3T_pca_k128_t4                    0.830             0.763             0.518     0.882      0.964          0.984         0.940         0.979             0.848                   0.980   
B3T_pca_k16_t4                     0.813             0.778             0.507     0.866      0.838          0.906         0.976         0.937             0.884                   0.933   
B3T_pca_k32_t4                     0.831             0.786             0.529     0.885      0.894          0.955         0.970         0.975             0.862                   0.969   
B3T_pca_k4_t4                      0.812             0.797             0.480     0.923      0.759          0.782         0.866         0.832             0.718                   0.824   
B3T_pca_k64_t4                     0.837             0.779             0.528     0.892      0.939          0.974         0.954         0.980             0.852                   0.977   
B3_pca_k128                        0.815             0.728             0.482     0.880      0.995          0.944         0.858         0.923             0.765                   0.932   
B3_pca_k16                         0.855             0.793             0.495     0.970      0.944          0.894         0.864         0.907             0.724                   0.908   
B3_pca_k32                         0.848             0.775             0.492     0.942      0.979          0.928         0.875         0.927             0.755                   0.931   
B3_pca_k4                          0.799             0.775             0.442     0.953      0.768          0.725         0.755         0.769             0.580                   0.763   
B3_pca_k64                         0.833             0.753             0.489     0.910      0.992          0.941         0.869         0.929             0.766                   0.936   

method                  AE_3d_l32_t4_chlk49sst  AE_3d_l32_t4_chlnflsst  AE_3d_l32_t4_k49nflsst  AE_3d_l32_t4_mae015  AE_3d_l32_t4_mae030  AE_3d_l32_t4_mae040  AE_3d_l32_t4_mae050  \
method                                                                                                                                                                               
AE_2d_l128                               0.896                   0.803                   0.823                0.918                0.697                0.494                0.405   
AE_2d_l16                                0.896                   0.823                   0.847                0.934                0.759                0.580                0.484   
AE_2d_l32                                0.900                   0.817                   0.839                0.931                0.728                0.533                0.439   
AE_2d_l32_chl                            0.894                   0.708                   0.666                0.837                0.673                0.464                0.432   
AE_2d_l32_chlk49nfl                      0.902                   0.806                   0.828                0.927                0.715                0.516                0.432   
AE_2d_l32_chlk49sst                      0.932                   0.710                   0.746                0.880                0.697                0.516                0.442   
AE_2d_l32_chlnflsst                      0.795                   0.861                   0.815                0.891                0.707                0.492                0.412   
AE_2d_l32_k49nflsst                      0.830                   0.813                   0.872                0.905                0.696                0.530                0.408   
AE_2d_l32_mae015                         0.909                   0.823                   0.846                0.941                0.766                0.564                0.487   
AE_2d_l32_mae030                         0.866                   0.785                   0.808                0.908                0.866                0.680                0.683   
AE_2d_l32_mae040                         0.811                   0.737                   0.765                0.856                0.885                0.741                0.744   
AE_2d_l32_mae050                         0.754                   0.699                   0.719                0.802                0.893                0.728                0.767   
AE_2d_l32_mae070                         0.477                   0.487                   0.465                0.534                0.579                0.312                0.403   
AE_2d_l4                                 0.819                   0.790                   0.819                0.881                0.803                0.682                0.581   
AE_2d_l64                                0.899                   0.808                   0.831                0.923                0.708                0.515                0.419   
AE_3d_l128_t4                            0.948                   0.913                   0.924                0.978                0.741                0.494                0.409   
AE_3d_l16_t4                             0.930                   0.958                   0.972                0.962                0.760                0.544                0.454   
AE_3d_l32_t4                             0.957                   0.934                   0.949                0.993                0.778                0.538                0.449   
AE_3d_l32_t4_chl                         0.914                   0.871                   0.825                0.867                0.669                0.434                0.389   
AE_3d_l32_t4_chlk49nfl                   0.953                   0.922                   0.937                0.986                0.767                0.528                0.451   
AE_3d_l32_t4_chlk49sst                   1.000                   0.843                   0.871                0.952                0.761                0.536                0.462   
AE_3d_l32_t4_chlnflsst                   0.843                   1.000                   0.953                0.926                0.716                0.468                0.386   
AE_3d_l32_t4_k49nflsst                   0.871                   0.953                   1.000                0.939                0.727                0.517                0.410   
AE_3d_l32_t4_mae015                      0.952                   0.926                   0.939                1.000                0.828                0.581                0.515   
AE_3d_l32_t4_mae030                      0.761                   0.716                   0.727                0.828                1.000                0.783                0.844   
AE_3d_l32_t4_mae040                      0.536                   0.468                   0.517                0.581                0.783                1.000                0.821   
AE_3d_l32_t4_mae050                      0.462                   0.386                   0.410                0.515                0.844                0.821                1.000   
AE_3d_l32_t4_mae070                      0.420                   0.341                   0.389                0.465                0.785                0.931                0.924   
AE_3d_l4_t4                              0.862                   0.898                   0.918                0.919                0.806                0.650                0.555   
AE_3d_l64_t4                             0.955                   0.927                   0.940                0.987                0.760                0.517                0.428   
B1_chla_zscore                           0.404                   0.333                   0.343                0.396                0.466                0.369                0.459   
B2_multivar_zscore                       0.423                   0.395                   0.360                0.434                0.531                0.312                0.465   
B3T_pca_k128_t4                          0.939                   0.900                   0.914                0.970                0.747                0.520                0.430   
B3T_pca_k16_t4                           0.892                   0.934                   0.946                0.932                0.761                0.566                0.480   
B3T_pca_k32_t4                           0.926                   0.938                   0.950                0.969                0.778                0.561                0.473   
B3T_pca_k4_t4                            0.768                   0.825                   0.844                0.835                0.787                0.685                0.590   
B3T_pca_k64_t4                           0.935                   0.916                   0.929                0.973                0.767                0.544                0.456   
B3_pca_k128                              0.888                   0.801                   0.822                0.915                0.701                0.511                0.413   
B3_pca_k16                               0.859                   0.804                   0.829                0.909                0.786                0.645                0.539   
B3_pca_k32                               0.885                   0.816                   0.840                0.925                0.760                0.596                0.492   
B3_pca_k4                                0.706                   0.708                   0.734                0.781                0.786                0.729                0.623   
B3_pca_k64                               0.892                   0.810                   0.833                0.923                0.731                0.550                0.450   

method                  AE_3d_l32_t4_mae070  AE_3d_l4_t4  AE_3d_l64_t4  B1_chla_zscore  B2_multivar_zscore  B3T_pca_k128_t4  B3T_pca_k16_t4  B3T_pca_k32_t4  B3T_pca_k4_t4  B3T_pca_k64_t4  \
method                                                                                                                                                                                       
AE_2d_l128                            0.368        0.825         0.939           0.345               0.338            0.961           0.828           0.886          0.741           0.933   
AE_2d_l16                             0.463        0.893         0.937           0.378               0.365            0.960           0.873           0.916          0.833           0.948   
AE_2d_l32                             0.409        0.864         0.942           0.365               0.355            0.965           0.855           0.906          0.792           0.946   
AE_2d_l32_chl                         0.368        0.735         0.851           0.379               0.392            0.869           0.744           0.795          0.647           0.843   
AE_2d_l32_chlk49nfl                   0.394        0.843         0.940           0.366               0.356            0.963           0.843           0.896          0.764           0.939   
AE_2d_l32_chlk49sst                   0.406        0.796         0.891           0.391               0.365            0.913           0.798           0.844          0.712           0.890   
AE_2d_l32_chlnflsst                   0.376        0.839         0.900           0.308               0.347            0.921           0.823           0.876          0.786           0.907   
AE_2d_l32_k49nflsst                   0.404        0.857         0.918           0.306               0.290            0.939           0.841           0.891          0.795           0.924   
AE_2d_l32_mae015                      0.451        0.875         0.945           0.383               0.385            0.967           0.867           0.915          0.806           0.950   
AE_2d_l32_mae030                      0.625        0.854         0.882           0.458               0.486            0.895           0.846           0.876          0.806           0.894   
AE_2d_l32_mae040                      0.705        0.834         0.816           0.467               0.495            0.830           0.813           0.831          0.812           0.837   
AE_2d_l32_mae050                      0.719        0.797         0.750           0.472               0.532            0.763           0.778           0.786          0.797           0.779   
AE_2d_l32_mae070                      0.299        0.469         0.497           0.258               0.419            0.518           0.507           0.529          0.480           0.528   
AE_2d_l4                              0.594        0.942         0.861           0.389               0.361            0.882           0.866           0.885          0.923           0.892   
AE_2d_l64                             0.390        0.840         0.942           0.348               0.339            0.964           0.838           0.894          0.759           0.939   
AE_3d_l128_t4                         0.363        0.877         0.995           0.356               0.387            0.984           0.906           0.955          0.782           0.974   
AE_3d_l16_t4                          0.415        0.944         0.959           0.401               0.418            0.940           0.976           0.970          0.866           0.954   
AE_3d_l32_t4                          0.410        0.918         0.995           0.380               0.406            0.979           0.937           0.975          0.832           0.980   
AE_3d_l32_t4_chl                      0.315        0.816         0.870           0.394               0.431            0.848           0.884           0.862          0.718           0.852   
AE_3d_l32_t4_chlk49nfl                0.404        0.910         0.991           0.389               0.409            0.980           0.933           0.969          0.824           0.977   
AE_3d_l32_t4_chlk49sst                0.420        0.862         0.955           0.404               0.423            0.939           0.892           0.926          0.768           0.935   
AE_3d_l32_t4_chlnflsst                0.341        0.898         0.927           0.333               0.395            0.900           0.934           0.938          0.825           0.916   
AE_3d_l32_t4_k49nflsst                0.389        0.918         0.940           0.343               0.360            0.914           0.946           0.950          0.844           0.929   
AE_3d_l32_t4_mae015                   0.465        0.919         0.987           0.396               0.434            0.970           0.932           0.969          0.835           0.973   
AE_3d_l32_t4_mae030                   0.785        0.806         0.760           0.466               0.531            0.747           0.761           0.778          0.787           0.767   
AE_3d_l32_t4_mae040                   0.931        0.650         0.517           0.369               0.312            0.520           0.566           0.561          0.685           0.544   
AE_3d_l32_t4_mae050                   0.924        0.555         0.428           0.459               0.465            0.430           0.480           0.473          0.590           0.456   
AE_3d_l32_t4_mae070                   1.000        0.549         0.387           0.389               0.349            0.389           0.448           0.440          0.608           0.418   
AE_3d_l4_t4                           0.549        1.000         0.898           0.417               0.402            0.892           0.956           0.940          0.951           0.918   
AE_3d_l64_t4                          0.387        0.898         1.000           0.364               0.393            0.983           0.924           0.968          0.808           0.979   
B1_chla_zscore                        0.389        0.417         0.364           1.000               0.749            0.357           0.388           0.369          0.386           0.363   
B2_multivar_zscore                    0.349        0.402         0.393           0.749               1.000            0.381           0.403           0.404          0.370           0.394   
B3T_pca_k128_t4                       0.389        0.892         0.983           0.357               0.381            1.000           0.923           0.969          0.823           0.992   
B3T_pca_k16_t4                        0.448        0.956         0.924           0.388               0.403            0.923           1.000           0.977          0.923           0.951   
B3T_pca_k32_t4                        0.440        0.940         0.968           0.369               0.404            0.969           0.977           1.000          0.895           0.988   
B3T_pca_k4_t4                         0.608        0.951         0.808           0.386               0.370            0.823           0.923           0.895          1.000           0.861   
B3T_pca_k64_t4                        0.418        0.918         0.979           0.363               0.394            0.992           0.951           0.988          0.861           1.000   
B3_pca_k128                           0.381        0.830         0.934           0.336               0.332            0.965           0.836           0.893          0.758           0.939   
B3_pca_k16                            0.536        0.911         0.900           0.368               0.354            0.934           0.881           0.913          0.892           0.934   
B3_pca_k32                            0.475        0.887         0.928           0.353               0.351            0.961           0.874           0.919          0.844           0.950   
B3_pca_k4                             0.665        0.890         0.747           0.356               0.319            0.779           0.809           0.813          0.953           0.803   
B3_pca_k64                            0.423        0.858         0.935           0.345               0.343            0.967           0.857           0.909          0.798           0.949   

method                  B3_pca_k128  B3_pca_k16  B3_pca_k32  B3_pca_k4  B3_pca_k64  
method                                                                              
AE_2d_l128                    0.996       0.933       0.972      0.748       0.989  
AE_2d_l16                     0.978       0.981       0.992      0.849       0.989  
AE_2d_l32                     0.990       0.963       0.987      0.804       0.993  
AE_2d_l32_chl                 0.902       0.837       0.878      0.653       0.897  
AE_2d_l32_chlk49nfl           0.992       0.946       0.977      0.771       0.990  
AE_2d_l32_chlk49sst           0.945       0.901       0.931      0.722       0.945  
AE_2d_l32_chlnflsst           0.935       0.925       0.943      0.800       0.941  
AE_2d_l32_k49nflsst           0.958       0.942       0.963      0.805       0.964  
AE_2d_l32_mae015              0.986       0.965       0.987      0.812       0.991  
AE_2d_l32_mae030              0.890       0.897       0.906      0.791       0.901  
AE_2d_l32_mae040              0.815       0.855       0.848      0.799       0.833  
AE_2d_l32_mae050              0.728       0.793       0.775      0.775       0.753  
AE_2d_l32_mae070              0.482       0.495       0.492      0.442       0.489  
AE_2d_l4                      0.880       0.970       0.942      0.953       0.910  
AE_2d_l64                     0.995       0.944       0.979      0.768       0.992  
AE_3d_l128_t4                 0.944       0.894       0.928      0.725       0.941  
AE_3d_l16_t4                  0.858       0.864       0.875      0.755       0.869  
AE_3d_l32_t4                  0.923       0.907       0.927      0.769       0.929  
AE_3d_l32_t4_chl              0.765       0.724       0.755      0.580       0.766  
AE_3d_l32_t4_chlk49nfl        0.932       0.908       0.931      0.763       0.936  
AE_3d_l32_t4_chlk49sst        0.888       0.859       0.885      0.706       0.892  
AE_3d_l32_t4_chlnflsst        0.801       0.804       0.816      0.708       0.810  
AE_3d_l32_t4_k49nflsst        0.822       0.829       0.840      0.734       0.833  
AE_3d_l32_t4_mae015           0.915       0.909       0.925      0.781       0.923  
AE_3d_l32_t4_mae030           0.701       0.786       0.760      0.786       0.731  
AE_3d_l32_t4_mae040           0.511       0.645       0.596      0.729       0.550  
AE_3d_l32_t4_mae050           0.413       0.539       0.492      0.623       0.450  
AE_3d_l32_t4_mae070           0.381       0.536       0.475      0.665       0.423  
AE_3d_l4_t4                   0.830       0.911       0.887      0.890       0.858  
AE_3d_l64_t4                  0.934       0.900       0.928      0.747       0.935  
B1_chla_zscore                0.336       0.368       0.353      0.356       0.345  
B2_multivar_zscore            0.332       0.354       0.351      0.319       0.343  
B3T_pca_k128_t4               0.965       0.934       0.961      0.779       0.967  
B3T_pca_k16_t4                0.836       0.881       0.874      0.809       0.857  
B3T_pca_k32_t4                0.893       0.913       0.919      0.813       0.909  
B3T_pca_k4_t4                 0.758       0.892       0.844      0.953       0.798  
B3T_pca_k64_t4                0.939       0.934       0.950      0.803       0.949  
B3_pca_k128                   1.000       0.946       0.981      0.769       0.996  
B3_pca_k16                    0.946       1.000       0.988      0.920       0.969  
B3_pca_k32                    0.981       0.988       1.000      0.863       0.994  
B3_pca_k4                     0.769       0.920       0.863      1.000       0.812  
B3_pca_k64                    0.996       0.969       0.994      0.812       1.000  

============================================================================================
Top-3 most-anomalous dates per method (Overall region)
  AE_2d_l128                               2014-11-27(1.31), 2014-12-04(1.31), 2014-12-03(1.19)
  AE_2d_l16                                2014-12-04(1.47), 2014-11-27(1.40), 2014-12-03(1.36)
  AE_2d_l32                                2014-12-04(1.42), 2014-11-27(1.38), 2014-12-03(1.31)
  AE_2d_l32_chl                            2014-11-27(0.70), 2014-12-04(0.66), 2014-12-03(0.61)
  AE_2d_l32_chlk49nfl                      2014-12-04(1.40), 2014-11-27(1.36), 2014-12-03(1.28)
  AE_2d_l32_chlk49sst                      2014-12-04(1.28), 2014-11-27(1.20), 2014-12-03(1.18)
  AE_2d_l32_chlnflsst                      2014-11-27(0.89), 2014-12-04(0.83), 2014-12-03(0.76)
  AE_2d_l32_k49nflsst                      2020-12-22(0.78), 2014-12-04(0.71), 2020-12-23(0.70)
  AE_2d_l32_mae015                         2014-12-04(1.56), 2014-11-27(1.47), 2014-12-03(1.42)
  AE_2d_l32_mae030                         2014-12-04(1.91), 2014-11-27(1.75), 2014-12-03(1.71)
  AE_2d_l32_mae040                         2014-12-04(2.26), 2014-11-27(2.04), 2014-12-03(2.04)
  AE_2d_l32_mae050                         2014-12-04(2.72), 2015-03-08(2.47), 2015-03-07(2.47)
  AE_2d_l32_mae070                         2023-03-25(6.85), 2023-03-23(6.80), 2023-03-24(6.51)
  AE_2d_l4                                 2014-12-04(1.70), 2015-03-08(1.54), 2014-11-27(1.52)
  AE_2d_l64                                2014-12-04(1.34), 2014-11-27(1.32), 2014-12-03(1.23)
  AE_3d_l128_t4                            2014-11-27(1.52), 2014-12-04(1.32), 2014-12-03(1.22)
  AE_3d_l16_t4                             2012-05-09(2.78), 2014-11-27(1.89), 2015-02-12(1.88)
  AE_3d_l32_t4                             2014-11-27(1.61), 2014-12-04(1.43), 2014-12-03(1.32)
  AE_3d_l32_t4_chl                         2012-05-09(1.42), 2014-11-27(0.97), 2015-01-05(0.88)
  AE_3d_l32_t4_chlk49nfl                   2014-11-27(1.57), 2012-05-09(1.45), 2014-12-04(1.43)
  AE_3d_l32_t4_chlk49sst                   2014-11-27(1.36), 2014-12-04(1.27), 2014-12-03(1.18)
  AE_3d_l32_t4_chlnflsst                   2012-05-09(1.22), 2014-11-27(1.16), 2023-02-21(1.02)
  AE_3d_l32_t4_k49nflsst                   2012-05-09(1.22), 2020-12-20(1.17), 2008-07-15(1.15)
  AE_3d_l32_t4_mae015                      2014-11-27(1.53), 2014-12-04(1.44), 2015-06-10(1.36)
  AE_3d_l32_t4_mae030                      2015-06-10(3.09), 2015-03-08(2.81), 2015-06-11(2.80)
  AE_3d_l32_t4_mae040                      2022-02-28(7.79), 2022-02-27(6.27), 2022-02-26(6.21)
  AE_3d_l32_t4_mae050                      2012-05-13(22.81), 2015-03-06(21.62), 2015-03-07(20.76)
  AE_3d_l32_t4_mae070                      2012-05-13(106.43), 2015-03-08(102.39), 2015-03-07(99.40)
  AE_3d_l4_t4                              2012-05-09(3.12), 2015-06-11(2.34), 2015-06-10(2.22)
  AE_3d_l64_t4                             2014-11-27(1.59), 2014-12-04(1.36), 2014-12-03(1.25)
  B1_chla_zscore                           2012-01-19(6.03), 2012-01-18(5.72), 2008-07-15(5.63)
  B2_multivar_zscore                       2008-07-15(18.71), 2014-12-06(13.39), 2012-05-10(12.13)
  B3T_pca_k128_t4                          2014-11-27(1.40), 2014-12-04(1.34), 2014-12-03(1.25)
  B3T_pca_k16_t4                           2012-05-09(3.96), 2015-02-12(2.64), 2012-05-10(2.35)
  B3T_pca_k32_t4                           2012-05-09(2.14), 2015-02-12(1.71), 2014-11-27(1.64)
  B3T_pca_k4_t4                            2012-05-09(4.00), 2015-02-12(2.91), 2012-05-10(2.74)
  B3T_pca_k64_t4                           2014-11-27(1.46), 2014-12-04(1.41), 2015-02-12(1.39)
  B3_pca_k128                              2014-12-04(1.30), 2014-11-27(1.29), 2014-12-03(1.20)
  B3_pca_k16                               2014-12-04(1.53), 2014-12-03(1.45), 2014-11-27(1.43)
  B3_pca_k32                               2014-12-04(1.44), 2014-11-27(1.37), 2014-12-03(1.35)
  B3_pca_k4                                2014-06-25(1.91), 2014-06-24(1.91), 2014-06-23(1.87)
  B3_pca_k64                               2014-12-04(1.37), 2014-11-27(1.33), 2014-12-03(1.28)

============================================================================================
E4: One-step-ahead forecastability (R², CI of AE Δ vs matched PCA)

  Overall (WA–OR–N. CA coastal):
    AE_3d_l32_t4_mae070                      R²=+0.8907  CIΔ=[+0.638, +0.744] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae040                      R²=+0.8246  CIΔ=[+0.588, +0.667] vs B3T_pca_k4_t4
    AE_2d_l32_mae070                         R²=+0.8159  CIΔ=[+0.755, +0.850] vs B3_pca_k4
    AE_3d_l32_t4_mae050                      R²=+0.8120  CIΔ=[+0.548, +0.676] vs B3T_pca_k4_t4
    B2_multivar_zscore                       R²=+0.7678
    B1_chla_zscore                           R²=+0.5563
    AE_2d_l32_mae050                         R²=+0.4428  CIΔ=[+0.389, +0.473] vs B3_pca_k4
    B3T_pca_k4_t4                            R²=+0.1952
    AE_3d_l32_t4_mae030                      R²=+0.1587  CIΔ=[-0.103, +0.021] vs B3T_pca_k4_t4
    B3_pca_k4                                R²=+0.0150
    AE_3d_l32_t4_chlk49sst                   R²=-0.0001  CIΔ=[-0.217, -0.171] vs B3T_pca_k4_t4
    AE_3d_l32_t4_chlk49nfl                   R²=-0.0002  CIΔ=[-0.218, -0.172] vs B3T_pca_k4_t4
    AE_3d_l16_t4                             R²=-0.0003  CIΔ=[-0.224, -0.168] vs B3T_pca_k4_t4
    AE_3d_l64_t4                             R²=-0.0005  CIΔ=[-0.220, -0.171] vs B3T_pca_k4_t4
    AE_3d_l32_t4                             R²=-0.0006  CIΔ=[-0.219, -0.172] vs B3T_pca_k4_t4
    AE_3d_l128_t4                            R²=-0.0008  CIΔ=[-0.220, -0.168] vs B3T_pca_k4_t4
    AE_3d_l4_t4                              R²=-0.0010  CIΔ=[-0.218, -0.173] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae015                      R²=-0.0012  CIΔ=[-0.223, -0.165] vs B3T_pca_k4_t4
    AE_3d_l32_t4_k49nflsst                   R²=-0.0013  CIΔ=[-0.218, -0.171] vs B3T_pca_k4_t4
    B3T_pca_k16_t4                           R²=-0.0021
    B3T_pca_k32_t4                           R²=-0.0024
    AE_2d_l32_chlnflsst                      R²=-0.0027  CIΔ=[-0.049, +0.015] vs B3_pca_k4
    B3T_pca_k64_t4                           R²=-0.0057
    B3T_pca_k128_t4                          R²=-0.0076
    AE_2d_l32_mae015                         R²=-0.0137  CIΔ=[-0.044, -0.006] vs B3_pca_k4
    AE_2d_l32_chl                            R²=-0.0145  CIΔ=[-0.069, +0.007] vs B3_pca_k4
    AE_2d_l64                                R²=-0.0146  CIΔ=[-0.048, -0.008] vs B3_pca_k4
    AE_2d_l128                               R²=-0.0159  CIΔ=[-0.049, -0.009] vs B3_pca_k4
    AE_2d_l32_mae030                         R²=-0.0185  CIΔ=[-0.076, +0.004] vs B3_pca_k4
    AE_2d_l32_chlk49nfl                      R²=-0.0187  CIΔ=[-0.052, -0.009] vs B3_pca_k4
    AE_2d_l4                                 R²=-0.0192  CIΔ=[-0.045, -0.022] vs B3_pca_k4
    AE_2d_l16                                R²=-0.0224  CIΔ=[-0.051, -0.020] vs B3_pca_k4
    AE_2d_l32_mae040                         R²=-0.0250  CIΔ=[-0.085, +0.002] vs B3_pca_k4
    AE_2d_l32                                R²=-0.0261  CIΔ=[-0.058, -0.022] vs B3_pca_k4
    AE_2d_l32_chlk49sst                      R²=-0.0266  CIΔ=[-0.060, -0.018] vs B3_pca_k4
    B3_pca_k128                              R²=-0.0269
    B3_pca_k64                               R²=-0.0324
    AE_3d_l32_t4_chlnflsst                   R²=-0.0335  CIΔ=[-0.281, -0.187] vs B3T_pca_k4_t4
    B3_pca_k32                               R²=-0.0337
    AE_2d_l32_k49nflsst                      R²=-0.0420  CIΔ=[-0.076, -0.037] vs B3_pca_k4
    AE_3d_l32_t4_chl                         R²=-0.0464  CIΔ=[-0.308, -0.188] vs B3T_pca_k4_t4
    B3_pca_k16                               R²=-0.0465

  Olympic Coast (WA):
    AE_3d_l32_t4_mae070                      R²=+0.8948  CIΔ=[+0.331, +0.437] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae040                      R²=+0.8568  CIΔ=[+0.299, +0.391] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae050                      R²=+0.8433  CIΔ=[+0.278, +0.388] vs B3T_pca_k4_t4
    AE_2d_l32_mae070                         R²=+0.7652  CIΔ=[+0.257, +0.363] vs B3_pca_k4
    B2_multivar_zscore                       R²=+0.6897
    AE_2d_l32_mae050                         R²=+0.6538  CIΔ=[+0.158, +0.236] vs B3_pca_k4
    B1_chla_zscore                           R²=+0.6068
    AE_3d_l32_t4_mae030                      R²=+0.5281  CIΔ=[-0.023, +0.058] vs B3T_pca_k4_t4
    B3T_pca_k4_t4                            R²=+0.5080
    B3_pca_k4                                R²=+0.4536
    AE_2d_l32_mae040                         R²=+0.3894  CIΔ=[-0.097, -0.032] vs B3_pca_k4
    AE_3d_l4_t4                              R²=+0.0337  CIΔ=[-0.501, -0.447] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae015                      R²=-0.0001  CIΔ=[-0.543, -0.476] vs B3T_pca_k4_t4
    AE_3d_l16_t4                             R²=-0.0006  CIΔ=[-0.542, -0.479] vs B3T_pca_k4_t4
    AE_3d_l128_t4                            R²=-0.0014  CIΔ=[-0.542, -0.476] vs B3T_pca_k4_t4
    AE_3d_l64_t4                             R²=-0.0021  CIΔ=[-0.544, -0.476] vs B3T_pca_k4_t4
    AE_3d_l32_t4_chlk49sst                   R²=-0.0028  CIΔ=[-0.544, -0.478] vs B3T_pca_k4_t4
    AE_3d_l32_t4_chlk49nfl                   R²=-0.0030  CIΔ=[-0.540, -0.474] vs B3T_pca_k4_t4
    AE_2d_l32_chlnflsst                      R²=-0.0042  CIΔ=[-0.494, -0.422] vs B3_pca_k4
    AE_3d_l32_t4                             R²=-0.0042  CIΔ=[-0.543, -0.481] vs B3T_pca_k4_t4
    AE_3d_l32_t4_k49nflsst                   R²=-0.0093  CIΔ=[-0.547, -0.483] vs B3T_pca_k4_t4
