
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
AE_3d_l32_t4_chlnflsst                   Olympic Coast (WA)                     0.173    0.143
AE_3d_l32_t4_k49nflsst                   Olympic Coast (WA)                     0.200    0.163
AE_3d_l32_t4_mae015                      Olympic Coast (WA)                     0.293    0.236
AE_3d_l32_t4_mae030                      Olympic Coast (WA)                     0.499    0.487
AE_3d_l32_t4_mae040                      Olympic Coast (WA)                     1.122    1.181
AE_3d_l32_t4_mae050                      Olympic Coast (WA)                     2.563    3.925
AE_3d_l32_t4_mae070                      Olympic Coast (WA)                    17.569   22.822
AE_3d_l4_t4                              Olympic Coast (WA)                     0.449    0.359
AE_3d_l64_t4                             Olympic Coast (WA)                     0.249    0.203
B1_chla_zscore                           Olympic Coast (WA)                     0.984    0.695
B2_multivar_zscore                       Olympic Coast (WA)                     3.858    2.024
B3T_pca_k128_t4                          Olympic Coast (WA)                     0.264    0.203
B3T_pca_k16_t4                           Olympic Coast (WA)                     0.438    0.364
B3T_pca_k32_t4                           Olympic Coast (WA)                     0.362    0.280
B3T_pca_k4_t4                            Olympic Coast (WA)                     0.659    0.523
B3T_pca_k64_t4                           Olympic Coast (WA)                     0.310    0.237
B3_pca_k128                              Olympic Coast (WA)                     0.222    0.171
B3_pca_k16                               Olympic Coast (WA)                     0.364    0.272
B3_pca_k32                               Olympic Coast (WA)                     0.307    0.230
B3_pca_k4                                Olympic Coast (WA)                     0.600    0.456
B3_pca_k64                               Olympic Coast (WA)                     0.263    0.199

AE_2d_l128                               SW Washington / Long Beach             0.117    0.090
AE_2d_l16                                SW Washington / Long Beach             0.169    0.122
AE_2d_l32                                SW Washington / Long Beach             0.145    0.109
AE_2d_l32_chl                            SW Washington / Long Beach             0.042    0.037
AE_2d_l32_chlk49nfl                      SW Washington / Long Beach             0.131    0.101
AE_2d_l32_chlk49sst                      SW Washington / Long Beach             0.119    0.098
AE_2d_l32_chlnflsst                      SW Washington / Long Beach             0.076    0.055
AE_2d_l32_k49nflsst                      SW Washington / Long Beach             0.093    0.068
AE_2d_l32_mae015                         SW Washington / Long Beach             0.160    0.116
AE_2d_l32_mae030                         SW Washington / Long Beach             0.255    0.247
AE_2d_l32_mae040                         SW Washington / Long Beach             0.382    0.386
AE_2d_l32_mae050                         SW Washington / Long Beach             0.545    0.529
AE_2d_l32_mae070                         SW Washington / Long Beach             0.524    0.475
AE_2d_l4                                 SW Washington / Long Beach             0.234    0.160
AE_2d_l64                                SW Washington / Long Beach             0.127    0.096
AE_3d_l128_t4                            SW Washington / Long Beach             0.130    0.103
AE_3d_l16_t4                             SW Washington / Long Beach             0.200    0.169
AE_3d_l32_t4                             SW Washington / Long Beach             0.164    0.130
AE_3d_l32_t4_chl                         SW Washington / Long Beach             0.058    0.063
AE_3d_l32_t4_chlk49nfl                   SW Washington / Long Beach             0.153    0.123
AE_3d_l32_t4_chlk49sst                   SW Washington / Long Beach             0.137    0.116
AE_3d_l32_t4_chlnflsst                   SW Washington / Long Beach             0.095    0.080
AE_3d_l32_t4_k49nflsst                   SW Washington / Long Beach             0.121    0.100
AE_3d_l32_t4_mae015                      SW Washington / Long Beach             0.177    0.140
AE_3d_l32_t4_mae030                      SW Washington / Long Beach             0.502    0.578
AE_3d_l32_t4_mae040                      SW Washington / Long Beach             1.668    1.954
AE_3d_l32_t4_mae050                      SW Washington / Long Beach             4.129    5.250
AE_3d_l32_t4_mae070                      SW Washington / Long Beach            28.229   31.337
AE_3d_l4_t4                              SW Washington / Long Beach             0.269    0.204
AE_3d_l64_t4                             SW Washington / Long Beach             0.146    0.116
B1_chla_zscore                           SW Washington / Long Beach             1.019    0.833
B2_multivar_zscore                       SW Washington / Long Beach             3.905    2.203
B3T_pca_k128_t4                          SW Washington / Long Beach             0.202    0.140
B3T_pca_k16_t4                           SW Washington / Long Beach             0.368    0.267
B3T_pca_k32_t4                           SW Washington / Long Beach             0.300    0.208
B3T_pca_k4_t4                            SW Washington / Long Beach             0.516    0.362
B3T_pca_k64_t4                           SW Washington / Long Beach             0.253    0.173
B3_pca_k128                              SW Washington / Long Beach             0.172    0.120
B3_pca_k16                               SW Washington / Long Beach             0.318    0.210
B3_pca_k32                               SW Washington / Long Beach             0.265    0.178
B3_pca_k4                                SW Washington / Long Beach             0.471    0.311
B3_pca_k64                               SW Washington / Long Beach             0.224    0.153

AE_2d_l128                               Central Oregon                         0.195    0.169
AE_2d_l16                                Central Oregon                         0.269    0.213
AE_2d_l32                                Central Oregon                         0.239    0.197
AE_2d_l32_chl                            Central Oregon                         0.070    0.081
AE_2d_l32_chlk49nfl                      Central Oregon                         0.222    0.191
AE_2d_l32_chlk49sst                      Central Oregon                         0.176    0.173
AE_2d_l32_chlnflsst                      Central Oregon                         0.143    0.113
AE_2d_l32_k49nflsst                      Central Oregon                         0.153    0.117
AE_2d_l32_mae015                         Central Oregon                         0.254    0.207
AE_2d_l32_mae030                         Central Oregon                         0.328    0.278
AE_2d_l32_mae040                         Central Oregon                         0.408    0.350
AE_2d_l32_mae050                         Central Oregon                         0.540    0.466
AE_2d_l32_mae070                         Central Oregon                         1.151    1.122
